"","item_id","pId","cId","sgId"
"12418",51817474,344805,141,85
"12419",51817476,4704,141,35
"12420",51909674,4704,160,35
"12421",51909680,349875,160,85
"12422",51063007,347899,166,35
"12423",51178211,245211,11,35
"12424",51178201,257950,11,35
"12425",51622784,198937,94,35
"12426",51640573,344200,97,35
"12427",51640574,119641,97,35
"12428",51966300,5899,160,35
"12429",51966303,5899,160,35
"12430",51966267,111518,160,35
"12431",51966270,5899,160,35
"12432",51817409,4704,141,35
"12433",51062956,347899,166,35
"12434",51818063,358008,11,35
"12435",51062915,134673,166,35
"12436",51817710,4704,141,35
"12437",52000617,4704,160,35
"12438",52000620,349875,160,85
"12439",51836431,119641,97,35
"12440",51836434,7758,97,35
"12441",51836438,124782,97,35
"12442",51841864,4704,141,35
"12443",51841867,4704,141,35
"12444",51818518,4704,11,35
"12445",51826579,7758,97,35
"12446",51817770,4704,141,35
"12447",51817771,4704,141,35
"12448",51817772,4704,141,35
"12449",52000688,4704,160,35
"12450",52000711,4704,160,35
"12451",51063237,355692,166,35
"12452",51063239,355691,166,35
"12453",51836287,254708,97,35
"12454",51841807,4704,141,35
"12455",51841809,4704,141,35
"12456",51434255,134673,166,35
"12457",51947977,116740,5,35
"12458",51836614,7761,97,35
"12459",51836615,7761,97,35
"12460",51836618,11987,97,35
"12461",51836620,11987,97,35
"12462",51836621,11987,97,35
"12463",51836623,11987,97,35
"12464",52050456,4704,141,35
"12465",52050457,4704,141,35
"12466",52050458,372058,141,35
"12467",52067960,4704,160,35
"12468",52067962,5899,160,35
"12469",52067964,4704,160,35
"12470",51841475,206563,11,35
"12471",51841494,206563,11,35
"12472",51836172,16611,97,35
"12473",51836173,124782,97,35
"12474",51836174,124782,97,35
"12475",51836175,354181,97,88
"12476",51841749,4704,141,35
"12477",52021652,5899,160,35
"12478",52021653,349875,160,85
"12479",52021674,5899,160,35
"12480",51434208,134673,166,35
"12481",51434217,261649,166,35
"12482",51779607,198937,94,35
"12483",51779616,362742,94,35
"12484",51779617,198937,94,35
"12485",51826657,368237,97,35
"12486",51826658,344200,97,35
"12487",51826661,7758,97,35
"12488",51817828,4704,141,35
"12489",52000760,4704,160,35
"12490",52000761,4704,160,35
"12491",51063299,347899,166,35
"12492",51063301,4655,166,35
"12493",51836800,125747,97,35
"12494",51836801,125747,97,35
"12495",51836820,125747,97,35
"12496",52094482,4704,160,35
"12497",52094483,4704,160,35
"12498",51434432,355691,166,35
"12499",52235455,219083,11,35
"12500",52443997,61910,11,35
"12501",52450638,349875,160,85
"12502",52939744,349875,160,85
"12503",53564311,166061,94,35
"12504",53564312,166061,94,35
"12505",53448828,379079,166,35
"12506",53449854,379079,166,35
"12507",51469377,5899,160,35
"12508",51469378,349875,160,85
"12509",51469451,4704,160,35
"12510",51469452,4704,160,35
"12511",51469454,5899,160,35
"12512",51469455,349875,160,85
"12513",51062137,134673,166,35
"12514",51062138,221367,166,35
"12515",51062454,187110,166,35
"12516",51517857,32081,97,35
"12517",51517858,7758,97,35
"12518",51517859,7758,97,35
"12519",51517860,7758,97,35
"12520",51517861,368237,97,35
"12521",51818263,206563,11,35
"12522",51818266,261815,11,85
"12523",51640357,7761,97,35
"12524",51640358,7761,97,35
"12525",51640360,11987,97,35
"12526",51909889,4704,160,35
"12527",51622792,362742,94,35
"12528",51622793,362742,94,35
"12529",51640592,38921,97,35
"12530",51640596,124782,97,35
"12531",51966287,349875,160,85
"12532",51966305,4720,160,35
"12533",51966307,188892,160,49
"12534",51063119,347899,166,35
"12535",51063120,134673,166,35
"12536",51836440,7761,97,35
"12537",51434308,134673,166,35
"12538",51434309,231164,166,35
"12539",52000698,5899,160,35
"12540",52124223,349875,160,85
"12541",52233931,349875,160,85
"12542",52900635,4704,141,35
"12543",52939694,349875,160,85
"12544",52939695,349875,160,85
"12545",53793660,4720,160,35
"12546",53937835,4720,160,35
"12547",51429122,124782,133,35
"12548",51429124,355687,133,35
"12549",51429126,111520,133,35
"12550",51429128,192066,133,35
"12551",51429130,160260,133,35
"12552",51429136,32515,133,35
"12553",51429138,5884,133,35
"12554",50948102,6556,70,35
"12555",51448444,5884,133,35
"12556",51448446,192066,133,35
"12557",51448448,138022,133,35
"12558",51323412,192066,133,35
"12559",51323414,138022,133,35
"12560",51323416,11987,133,35
"12561",51323418,11987,133,35
"12562",51289148,4655,121,35
"12563",51605536,192066,133,35
"12564",51605538,136698,133,35
"12565",51848470,192066,133,35
"12566",51848472,136698,133,35
"12567",51848474,32515,133,35
"12568",51848476,5884,133,35
"12569",51848478,5884,133,35
"12570",51848480,138022,133,35
"12571",51848690,192066,133,35
"12572",51288908,4655,40,35
"12573",51288910,4663,40,35
"12574",51288918,361827,40,35
"12575",51288920,4655,40,35
"12576",51902550,7300,70,88
"12577",52066126,248444,133,35
"12578",52066128,248444,133,35
"12579",52066130,248444,133,35
"12580",51902463,356157,125,35
"12581",52015380,192066,133,35
"12582",52015382,160260,133,35
"12583",52015384,14802,133,35
"12584",52015370,5884,133,35
"12585",52015372,14802,133,35
"12586",52015374,11987,133,35
"12587",52015376,11987,133,35
"12588",52015378,347801,133,35
"12589",51844285,4663,40,35
"12590",51902747,356157,70,35
"12591",51902748,201648,70,35
"12592",51902749,201648,70,35
"12593",51902750,13589,70,35
"12594",51902751,7758,70,35
"12595",52099840,5884,133,35
"12596",51903371,201648,70,35
"12597",51903372,201648,70,35
"12598",51903646,201648,70,35
"12599",51903647,7758,70,35
"12600",51903648,373386,70,35
"12601",51903649,373386,70,35
"12602",51903650,356157,70,35
"12603",51903651,260605,70,88
"12604",51903652,260605,70,88
"12605",52340761,136698,133,35
"12606",52340753,111520,150,35
"12607",51903895,6556,125,35
"12608",51903898,260605,125,88
"12609",51904052,201648,125,35
"12610",52446095,356157,125,35
"12611",51904059,201648,125,35
"12612",51904906,201648,125,35
"12613",52872738,160260,150,35
"12614",52839146,136698,133,35
"12615",52839148,357773,133,35
"12616",52839150,138022,133,35
"12617",52839152,111507,133,35
"12618",52839154,111507,133,35
"12619",52839156,111507,133,35
"12620",52839158,111507,133,35
"12621",52839160,5884,133,35
"12622",52604581,234516,70,35
"12623",52604582,234516,70,35
"12624",52883675,7758,70,35
"12625",52883676,360391,70,35
"12626",52604584,260605,70,88
"12627",52883677,356157,70,35
"12628",52914066,111520,150,35
"12629",52718740,362550,70,35
"12630",51904643,201648,70,35
"12631",51904644,201648,70,35
"12632",51904646,234516,70,35
"12633",51904647,234516,70,35
"12634",52718708,7758,70,35
"12635",52718710,356157,70,35
"12636",51904649,260605,70,88
"12637",51904650,260605,70,88
"12638",51904651,201648,70,35
"12639",52718711,360391,70,35
"12640",51904652,201648,70,35
"12641",51904654,374549,70,35
"12642",51904655,7300,70,88
"12643",52718713,7758,70,35
"12644",52718714,7758,70,35
"12645",52718715,360391,70,35
"12646",51904656,6556,70,35
"12647",51904657,221645,70,35
